researcher_name,group_name
A. Rupam Mahmood,Artificial Intelligence
A. Rupam Mahmood,Machine Learning
A. Rupam Mahmood,Robotics
Aaron C. Courville,Artificial Intelligence
Aaron C. Courville,Computer Vision
Aaron C. Courville,Machine Learning
Aaron C. Courville,Natural Language Processing
Aaron C. Courville,Robotics
Aaron D. Ames,Artificial Intelligence
Aaron D. Ames,Machine Learning
Aaron D. Ames,Robotics
Aaron M. Dollar,Robotics
Aaron Mueller,Machine Learning
Aaron Mueller,Natural Language Processing
Aaron Roth 0001,Artificial Intelligence
Aaron Roth 0001,Computer Vision
Aaron Roth 0001,Machine Learning
Aaron Roth 0001,Natural Language Processing
Aarti Singh,Artificial Intelligence
Aarti Singh,Machine Learning
Aayush Jain,Machine Learning
Aayush Jain,Robotics
Abdalla Swikir,Robotics
Abdeslam Boularias,Artificial Intelligence
Abdeslam Boularias,Machine Learning
Abdeslam Boularias,Robotics
Abdulrahman Mahmoud,Machine Learning
Abe Davis,Computer Graphics
Abe Davis,Computer Vision
Abe Davis,Human-Computer Interaction
Abhilasha Ravichander,Machine Learning
Abhilasha Ravichander,Natural Language Processing
Abhinav Bhatele,Machine Learning
Abhinav Gupta 0001,Artificial Intelligence
Abhinav Gupta 0001,Computer Vision
Abhinav Gupta 0001,Machine Learning
Abhinav Gupta 0001,Robotics
Abhinav Shrivastava,Artificial Intelligence
Abhinav Shrivastava,Computer Vision
Abhinav Shrivastava,Machine Learning
Abhinav Shrivastava,Robotics
Abhinav Valada,Computer Vision
Abhinav Valada,Robotics
Abhinav Verma 0001,Machine Learning
Abhishek Gupta 0004,Artificial Intelligence
Abhishek Gupta 0004,Computer Vision
Abhishek Gupta 0004,Machine Learning
Abhishek Gupta 0004,Robotics
Abir De,Artificial Intelligence
Abir De,Machine Learning
Abir De,The Web & Information Retrieval
Abulhair Saparov,Artificial Intelligence
Abulhair Saparov,Machine Learning
Abulhair Saparov,Natural Language Processing
Achuta Kadambi,Computer Graphics
Achuta Kadambi,Computer Vision
Achuta Kadambi,Human-Computer Interaction
Achuta Kadambi,Machine Learning
Achuta Kadambi,Robotics
Adam Block,Machine Learning
Adam Block,The Web & Information Retrieval
Adam Kortylewski,Artificial Intelligence
Adam Kortylewski,Computer Graphics
Adam Kortylewski,Computer Vision
Adam Kortylewski,Machine Learning
Adam Lopez,Artificial Intelligence
Adam Lopez,Natural Language Processing
Adam R. Klivans,Machine Learning
Adam Wierman,Artificial Intelligence
Adam Wierman,Machine Learning
Adam Wierman,The Web & Information Retrieval
Aditi Raghunathan,Computer Vision
Aditi Raghunathan,Machine Learning
Aditi Raghunathan,Natural Language Processing
Aditya Bhaskara,Machine Learning
Aditya Bhaskara,The Web & Information Retrieval
Aditya Grover,Artificial Intelligence
Aditya Grover,Computer Vision
Aditya Grover,Data Mining
Aditya Grover,Machine Learning
Aditya Shekhar Nittala,Human-Computer Interaction
Adrian G. Bors,Artificial Intelligence
Adrian G. Bors,Computer Vision
Adrian G. Bors,Machine Learning
Adrian Hilton 0001,Computer Vision
Adrian Weller,Artificial Intelligence
Adrian Weller,Computer Vision
Adrian Weller,Data Mining
Adrian Weller,Machine Learning
Adrian Weller,Natural Language Processing
Adrian Weller,The Web & Information Retrieval
Aduri Pavan,Artificial Intelligence
Aduri Pavan,Databases
Aduri Pavan,Machine Learning
Adwait Sharma,Human-Computer Interaction
Aggelos K. Katsaggelos,Computer Vision
Aggelos K. Katsaggelos,Human-Computer Interaction
Aggelos K. Katsaggelos,Machine Learning
Agustinus Kristiadi,Machine Learning
Ah-Hwee Tan,Artificial Intelligence
Ah-Hwee Tan,Computer Vision
Ahmed M. Abdelmoniem,Artificial Intelligence
Ahmed M. Abdelmoniem,Machine Learning
Aimin Hao,Artificial Intelligence
Aimin Hao,Computer Graphics
Aimin Hao,Computer Vision
Aimin Hao,Machine Learning
Aixin Sun,Artificial Intelligence
Aixin Sun,Data Mining
Aixin Sun,Databases
Aixin Sun,Machine Learning
Aixin Sun,Natural Language Processing
Aixin Sun,The Web & Information Retrieval
Ajmal Mian,Artificial Intelligence
Ajmal Mian,Computer Vision
Ajmal Mian,Machine Learning
Ajmal Mian,Robotics
Akarsh Prabhakara,Computer Vision
Akarsh Prabhakara,Human-Computer Interaction
Akarsh Prabhakara,Robotics
Akshat Kumar,Artificial Intelligence
Akshat Kumar,Machine Learning
Alan D. Fekete,Databases
Alan L. Yuille,Artificial Intelligence
Alan L. Yuille,Computer Vision
Alan L. Yuille,Machine Learning
Alan L. Yuille,Natural Language Processing
Alan L. Yuille,Robotics
Alan Ritter,Artificial Intelligence
Alan Ritter,Computer Vision
Alan Ritter,Natural Language Processing
Alan Ritter,The Web & Information Retrieval
Alane Suhr,Computer Vision
Alane Suhr,Machine Learning
Alane Suhr,Natural Language Processing
Albert No,Computer Vision
Albert No,Machine Learning
Albert No,Natural Language Processing
Alberto Maria Metelli,Artificial Intelligence
Alberto Maria Metelli,Machine Learning
Alberto Quattrini Li,Robotics
Albrecht Schmidt 0001,Human-Computer Interaction
Alcherio Martinoli,Robotics
Aldeida Aleti,Artificial Intelligence
Aldeida Aleti,Software Engineering
Aldo Pacchiano,Artificial Intelligence
Aldo Pacchiano,Machine Learning
Aleksandar Bojchevski,Artificial Intelligence
Aleksandar Bojchevski,Data Mining
Aleksandar Bojchevski,Machine Learning
Ales Leonardis,Artificial Intelligence
Ales Leonardis,Computer Vision
Ales Leonardis,Machine Learning
Ales Leonardis,Robotics
Alessandro Abate,Artificial Intelligence
Alessandro Abate,Machine Learning
Alex Aiken,Computer Vision
Alex Aiken,Data Mining
Alex Aiken,Databases
Alex Aiken,Machine Learning
Alex Aiken,Natural Language Processing
Alex Aiken,Software Engineering
Alex Kale,Data Mining
Alex Kale,Visualization
Alex Wong 0001,Artificial Intelligence
Alex Wong 0001,Computer Graphics
Alex Wong 0001,Computer Vision
Alex Wong 0001,Machine Learning
Alex Wong 0001,Robotics
Alexander Fraser 0001,Machine Learning
Alexander Fraser 0001,Natural Language Processing
Alexander G. Schwing,Artificial Intelligence
Alexander G. Schwing,Computer Graphics
Alexander G. Schwing,Computer Vision
Alexander G. Schwing,Machine Learning
Alexander G. Schwing,Robotics
Alexander G. Schwing,The Web & Information Retrieval
Alexander Herzog,Robotics
Alexander Koller,Natural Language Processing
Alexander M. Rush,Artificial Intelligence
Alexander M. Rush,Computer Vision
Alexander M. Rush,Machine Learning
Alexander M. Rush,Natural Language Processing
Alexander M. Rush,Visualization
Alexander Olshevsky,Machine Learning
Alexander Rakhlin,Machine Learning
Alexander Tong 0001,Machine Learning
Alexandra Birch,Artificial Intelligence
Alexandra Birch,Machine Learning
Alexandra Birch,Natural Language Processing
Alexandra Ion,Computer Graphics
Alexandra Ion,Human-Computer Interaction
Alexandre Alahi,Artificial Intelligence
Alexandre Alahi,Computer Vision
Alexandre Alahi,Machine Learning
Alexandre Alahi,Robotics
Alexandre M. Bayen,Machine Learning
Alexandre M. Bayen,Robotics
Alexandros G. Dimakis,Artificial Intelligence
Alexandros G. Dimakis,Computer Vision
Alexandros G. Dimakis,Data Mining
Alexandros G. Dimakis,Databases
Alexandros G. Dimakis,Machine Learning
Alexandros G. Dimakis,Natural Language Processing
Alexandros G. Dimakis,The Web & Information Retrieval
Alexei A. Efros,Computer Graphics
Alexei A. Efros,Computer Vision
Alexei A. Efros,Machine Learning
Alfons Kemper,Databases
Alfred M. Bruckstein,Computer Vision
Alfred M. Bruckstein,Robotics
Alham Fikri Aji,Machine Learning
Alham Fikri Aji,Natural Language Processing
Ali Emami,Natural Language Processing
Ali Mahdavi-Amiri,Computer Graphics
Ali Mahdavi-Amiri,Computer Vision
Ali Mahdavi-Amiri,Machine Learning
Ali Vakilian,Machine Learning
Alice Oh,Data Mining
Alice Oh,Human-Computer Interaction
Alice Oh,Machine Learning
Alice Oh,Natural Language Processing
Alina Ene,Artificial Intelligence
Alina Ene,Data Mining
Alina Ene,Machine Learning
Alina Ene,The Web & Information Retrieval
Alina Oprea,Machine Learning
Alina Oprea,Natural Language Processing
Alireza Fallah 0001,Machine Learning
Alistair Moffat,The Web & Information Retrieval
Alla Sheffer,Computer Graphics
Alla Sheffer,Computer Vision
Alois C. Knoll,Artificial Intelligence
Alois C. Knoll,Computer Vision
Alois C. Knoll,Machine Learning
Alois C. Knoll,Robotics
Alon Cohen,Artificial Intelligence
Alon Cohen,Machine Learning
Aloysius K. Mok,Robotics
Alvaro Soto,Artificial Intelligence
Alvaro Soto,Computer Vision
Alvaro Soto,Machine Learning
Alvaro Soto,Natural Language Processing
Alvaro Soto,Robotics
Alvaro Velasquez,Artificial Intelligence
Alvaro Velasquez,Computer Vision
Alvaro Velasquez,Machine Learning
Alán Aspuru-Guzik,Computer Vision
Alán Aspuru-Guzik,Machine Learning
Alán Aspuru-Guzik,Robotics
Amanda Prorok,Machine Learning
Amanda Prorok,Robotics
Amartya Sanyal,Machine Learning
Ambuj K. Singh,Artificial Intelligence
Ambuj K. Singh,Data Mining
Ambuj K. Singh,Databases
Ambuj K. Singh,Machine Learning
Ambuj K. Singh,Natural Language Processing
Ambuj K. Singh,The Web & Information Retrieval
Ambuj Tewari,Artificial Intelligence
Ambuj Tewari,Machine Learning
Ameet Talwalkar,Artificial Intelligence
Ameet Talwalkar,Machine Learning
Amin Karbasi,Artificial Intelligence
Amin Karbasi,Machine Learning
Amine Mhedhbi,Databases
Amine Mhedhbi,Human-Computer Interaction
Amir Globerson,Artificial Intelligence
Amir Globerson,Computer Vision
Amir Globerson,Machine Learning
Amir Globerson,Natural Language Processing
Amir-massoud Farahmand,Artificial Intelligence
Amir-massoud Farahmand,Computer Vision
Amir-massoud Farahmand,Machine Learning
Amirmohammad Rooshenas,Artificial Intelligence
Amirmohammad Rooshenas,Machine Learning
Amirmohammad Rooshenas,Natural Language Processing
Amit Bermano,Computer Graphics
Amit Bermano,Computer Vision
Amit Bermano,Machine Learning
Amit Daniely,Machine Learning
Amit K. Roy-Chowdhury,Artificial Intelligence
Amit K. Roy-Chowdhury,Computer Vision
Amit K. Roy-Chowdhury,Machine Learning
Amitabh Basu,Machine Learning
Amnon Shashua,Computer Vision
Amnon Shashua,Machine Learning
Amnon Shashua,Natural Language Processing
Amos Azaria,Artificial Intelligence
Amos Azaria,Machine Learning
Amos Azaria,Natural Language Processing
Amos J. Storkey,Artificial Intelligence
Amos J. Storkey,Computer Vision
Amos J. Storkey,Machine Learning
Amrit Singh Bedi,Artificial Intelligence
Amrit Singh Bedi,Computer Vision
Amrit Singh Bedi,Machine Learning
Amrit Singh Bedi,Robotics
Amy Pavel,Computer Graphics
Amy Pavel,Computer Vision
Amy Pavel,Human-Computer Interaction
Amy Pavel,Natural Language Processing
Amélie Marian,Artificial Intelligence
Amélie Marian,Databases
Amélie Marian,The Web & Information Retrieval
An Zhang 0003,Computer Vision
An Zhang 0003,Data Mining
An Zhang 0003,Machine Learning
An Zhang 0003,Natural Language Processing
An Zhang 0003,The Web & Information Retrieval
Ana Marasovic,Natural Language Processing
Ana Serrano,Computer Graphics
Ana Serrano,Computer Vision
Anastasios Kyrillidis,Artificial Intelligence
Anastasios Kyrillidis,Computer Vision
Anastasios Kyrillidis,Databases
Anastasios Kyrillidis,Machine Learning
Anastasios Kyrillidis,Robotics
Anders Søgaard,Artificial Intelligence
Anders Søgaard,Machine Learning
Anders Søgaard,Natural Language Processing
Anders Søgaard,The Web & Information Retrieval
Andrea Celli,Artificial Intelligence
Andrea Celli,Machine Learning
Andrea Celli,The Web & Information Retrieval
Andrea Tagliasacchi,Computer Graphics
Andrea Tagliasacchi,Computer Vision
Andrea Tagliasacchi,Machine Learning
Andrea Tagliasacchi,Robotics
Andreagiovanni Reina,Robotics
Andreas Bulling,Artificial Intelligence
Andreas Bulling,Computer Graphics
Andreas Bulling,Computer Vision
Andreas Bulling,Human-Computer Interaction
Andreas Bulling,Machine Learning
Andreas Bulling,Natural Language Processing
Andreas Bulling,Robotics
Andreas Dengel 0001,Artificial Intelligence
Andreas Dengel 0001,Computer Vision
Andreas Dengel 0001,Human-Computer Interaction
Andreas Geiger 0001,Computer Graphics
Andreas Geiger 0001,Computer Vision
Andreas Geiger 0001,Machine Learning
Andreas Geiger 0001,Robotics
Andreas Krause 0001,Artificial Intelligence
Andreas Krause 0001,Computer Vision
Andreas Krause 0001,Data Mining
Andreas Krause 0001,Machine Learning
Andreas Krause 0001,Robotics
Andreas Zell,Machine Learning
Andreas Zell,Robotics
Andrej Risteski,Machine Learning
Andrej Risteski,Natural Language Processing
Andrew Gordon Wilson,Data Mining
Andrew Gordon Wilson,Machine Learning
Andrew Gordon Wilson,Natural Language Processing
Andrew Head,Computer Vision
Andrew Head,Databases
Andrew Head,Human-Computer Interaction
Andrew Head,Natural Language Processing
Andrew Head,Software Engineering
Andrew J. Davison,Computer Vision
Andrew J. Davison,Machine Learning
Andrew J. Davison,Robotics
Andrew M. McNutt,Human-Computer Interaction
Andrew M. McNutt,Visualization
Andrew McCallum,Artificial Intelligence
Andrew McCallum,Data Mining
Andrew McCallum,Machine Learning
Andrew McCallum,Natural Language Processing
Andrew McCallum,The Web & Information Retrieval
Andrew Owens,Computer Graphics
Andrew Owens,Computer Vision
Andrew Owens,Human-Computer Interaction
Andrew Owens,Machine Learning
Andrew Owens,Robotics
Andrew Pavlo,Databases
Andrew Trotman,The Web & Information Retrieval
André F. T. Martins,Machine Learning
André F. T. Martins,Natural Language Processing
Andrés Lucero,Human-Computer Interaction
Andrés Monroy-Hernández,Human-Computer Interaction
Andrés Monroy-Hernández,Visualization
Anfeng Liu,Artificial Intelligence
Anfeng Liu,Human-Computer Interaction
Ang Li 0005,Computer Vision
Ang Li 0005,Data Mining
Ang Li 0005,Machine Learning
Angela Dai,Computer Graphics
Angela Dai,Computer Vision
Angela Dai,Machine Learning
Angela P. Schoellig,Machine Learning
Angela P. Schoellig,Robotics
Angela Yao,Artificial Intelligence
Angela Yao,Computer Vision
Angela Yao,Machine Learning
Angela Yao,The Web & Information Retrieval
Angjoo Kanazawa,Computer Graphics
Angjoo Kanazawa,Computer Vision
Angjoo Kanazawa,Machine Learning
Angjoo Kanazawa,Robotics
Anh Tuan Luu,Artificial Intelligence
Anh Tuan Luu,Computer Vision
Anh Tuan Luu,Data Mining
Anh Tuan Luu,Databases
Anh Tuan Luu,Machine Learning
Anh Tuan Luu,Natural Language Processing
Anh Tuan Luu,The Web & Information Retrieval
Ani Calinescu,Artificial Intelligence
Ani Calinescu,Machine Learning
Aniket Bera,Artificial Intelligence
Aniket Bera,Computer Vision
Aniket Bera,Robotics
Anil Damle,Machine Learning
Anima Anandkumar,Artificial Intelligence
Anima Anandkumar,Computer Vision
Anima Anandkumar,Data Mining
Anima Anandkumar,Machine Learning
Anima Anandkumar,Natural Language Processing
Anima Anandkumar,Robotics
Animesh Garg,Artificial Intelligence
Animesh Garg,Computer Vision
Animesh Garg,Machine Learning
Animesh Garg,Robotics
Anind K. Dey,Human-Computer Interaction
Anind K. Dey,Machine Learning
Anirban Chakraborty 0001,Artificial Intelligence
Anirban Chakraborty 0001,Computer Vision
Anirban Chakraborty 0001,Machine Learning
Anirudha Majumdar,Machine Learning
Anirudha Majumdar,Robotics
Anjan Dutta 0001,Artificial Intelligence
Anjan Dutta 0001,Computer Vision
Anjan Dutta 0001,Machine Learning
Anji Liu,Artificial Intelligence
Anji Liu,Computer Vision
Anji Liu,Machine Learning
