rank,min_topic_size,umap_n_neighbors,actual_topics,noise_docs,coherence_cv,runtime_seconds,error
1,40,50,44,6053,0.6458424875017328,66.23376810000627,
2,40,40,43,4842,0.6444990082171861,60.69251520000398,
3,35,50,50,6219,0.6387343743846509,66.96159000000625,
4,40,30,53,5910,0.6338103823939301,56.88426079999772,
5,35,40,46,4762,0.6214608831689623,60.610796299995854,
6,35,30,61,5557,0.6131091631099991,59.86842999998771,
7,30,40,53,4979,0.6072978692298239,62.92111520000617,
8,30,50,61,6441,0.60347464174159,70.04556150001008,
9,30,30,66,5338,0.5987894345919241,60.60789549999754,
10,25,50,77,6641,0.5877802497645411,73.7270387000026,
11,25,40,79,5935,0.5734468843769277,68.55896330000542,
12,25,30,89,5820,0.5725323923712863,64.19763599999715,
13,20,50,107,6463,0.5571639878168051,79.19652539999515,
14,20,30,116,5781,0.5502833952337338,118.21619370000553,
15,20,40,109,6186,0.5489387033207795,74.26384660000622,
