rank,min_topic_size,umap_n_neighbors,actual_topics,noise_docs,coherence_cv,runtime_seconds,error
1,20,30,116,5781,0.5502833952337338,100.45065689999319,
2,20,15,146,5895,0.5284343161377509,94.9547656000068,
3,15,30,158,5397,0.5214200098488884,122.66476159999729,
4,20,10,189,5603,0.5023810011786364,98.81590039998991,
5,15,15,224,5654,0.4845072633501553,86.59891860000789,
6,10,30,304,6017,0.4839465487539574,117.15871309999784,
7,15,10,266,5009,0.47271426145490947,99.82039229999646,
8,5,30,828,4979,0.44348790680672767,302.6291346999933,
9,10,15,403,5364,0.4416172795890438,133.4230191999959,
10,5,15,949,3839,0.4368998540994862,426.339023499997,
11,10,10,461,4264,0.432221016275479,139.51866859999427,
12,5,10,1043,3102,0.42542549791712264,520.655777699998,
