model,researcher_name,ground_truth_groups,top_1_groups,top_1_scores,top_3_groups,top_3_scores,top_5_groups,top_5_scores
tfidf,A. Rupam Mahmood,Artificial Intelligence | Machine Learning | Robotics,Machine Learning,0.255493,Machine Learning | Artificial Intelligence | Robotics,0.255493 | 0.242737 | 0.233383,Machine Learning | Artificial Intelligence | Robotics | Data Mining | Computer Vision,0.255493 | 0.242737 | 0.233383 | 0.226198 | 0.213425
tfidf,Abhinav Gupta 0001,Artificial Intelligence | Computer Vision | Machine Learning | Robotics,Robotics,0.630879,Robotics | Computer Graphics | Computer Vision,0.630879 | 0.578173 | 0.567428,Robotics | Computer Graphics | Computer Vision | Machine Learning | Artificial Intelligence,0.630879 | 0.578173 | 0.567428 | 0.544015 | 0.529831
tfidf,Abhinav Verma 0001,Machine Learning,Robotics,0.112192,Robotics | Machine Learning | Artificial Intelligence,0.112192 | 0.108125 | 0.107759,Robotics | Machine Learning | Artificial Intelligence | Data Mining | Natural Language Processing,0.112192 | 0.108125 | 0.107759 | 0.098754 | 0.098587
tfidf,Adam R. Klivans,Machine Learning,Machine Learning,0.176439,Machine Learning | Computer Vision | Artificial Intelligence,0.176439 | 0.171708 | 0.171595,Machine Learning | Computer Vision | Artificial Intelligence | Natural Language Processing | Data Mining,0.176439 | 0.171708 | 0.171595 | 0.164240 | 0.161008
tfidf,Adam Wierman,Artificial Intelligence | Machine Learning | The Web & Information Retrieval,Machine Learning,0.223366,Machine Learning | Artificial Intelligence | Robotics,0.223366 | 0.215145 | 0.212578,Machine Learning | Artificial Intelligence | Robotics | Data Mining | The Web & Information Retrieval,0.223366 | 0.215145 | 0.212578 | 0.204186 | 0.194023
tfidf,Aditya Shekhar Nittala,Human-Computer Interaction,Human-Computer Interaction,0.272821,Human-Computer Interaction | Computer Graphics | Visualization,0.272821 | 0.180463 | 0.176935,Human-Computer Interaction | Computer Graphics | Visualization | Robotics | Computer Vision,0.272821 | 0.180463 | 0.176935 | 0.172478 | 0.159537
tfidf,Adrian G. Bors,Artificial Intelligence | Computer Vision | Machine Learning,Machine Learning,0.302271,Machine Learning | Artificial Intelligence | Data Mining,0.302271 | 0.300251 | 0.298049,Machine Learning | Artificial Intelligence | Data Mining | Computer Vision | Natural Language Processing,0.302271 | 0.300251 | 0.298049 | 0.290354 | 0.282573
tfidf,Adrian Hilton 0001,Computer Vision,Computer Graphics,0.193499,Computer Graphics | Computer Vision | Robotics,0.193499 | 0.158618 | 0.156852,Computer Graphics | Computer Vision | Robotics | Machine Learning | Artificial Intelligence,0.193499 | 0.158618 | 0.156852 | 0.137131 | 0.133511
tfidf,Adrian Weller,Artificial Intelligence | Computer Vision | Data Mining | Machine Learning | Natural Language Processing | The Web & Information Retrieval,Machine Learning,0.496568,Machine Learning | Data Mining | Artificial Intelligence,0.496568 | 0.485661 | 0.485457,Machine Learning | Data Mining | Artificial Intelligence | Natural Language Processing | Databases,0.496568 | 0.485661 | 0.485457 | 0.476227 | 0.467549
tfidf,Akshat Kumar,Artificial Intelligence | Machine Learning,Databases,0.291388,Databases | Data Mining | Machine Learning,0.291388 | 0.287991 | 0.275527,Databases | Data Mining | Machine Learning | Artificial Intelligence | The Web & Information Retrieval,0.291388 | 0.287991 | 0.275527 | 0.273221 | 0.267594
tfidf,Alan D. Fekete,Databases,Databases,0.132434,Databases | Software Engineering | Human-Computer Interaction,0.132434 | 0.117288 | 0.090589,Databases | Software Engineering | Human-Computer Interaction | The Web & Information Retrieval | Data Mining,0.132434 | 0.117288 | 0.090589 | 0.090474 | 0.090206
tfidf,Alane Suhr,Computer Vision | Machine Learning | Natural Language Processing,Natural Language Processing,0.372103,Natural Language Processing | Computer Vision | Machine Learning,0.372103 | 0.352247 | 0.352154,Natural Language Processing | Computer Vision | Machine Learning | Artificial Intelligence | The Web & Information Retrieval,0.372103 | 0.352247 | 0.352154 | 0.349419 | 0.325992
tfidf,Alberto Quattrini Li,Robotics,Robotics,0.175875,Robotics | Artificial Intelligence | Machine Learning,0.175875 | 0.128440 | 0.126390,Robotics | Artificial Intelligence | Machine Learning | Computer Vision | Computer Graphics,0.175875 | 0.128440 | 0.126390 | 0.122054 | 0.111985
tfidf,Albrecht Schmidt 0001,Human-Computer Interaction,Human-Computer Interaction,0.198900,Human-Computer Interaction | Visualization | Natural Language Processing,0.198900 | 0.176473 | 0.128241,Human-Computer Interaction | Visualization | Natural Language Processing | The Web & Information Retrieval | Data Mining,0.198900 | 0.176473 | 0.128241 | 0.128151 | 0.116765
tfidf,Aleksandar Bojchevski,Artificial Intelligence | Data Mining | Machine Learning,Natural Language Processing,0.156288,Natural Language Processing | Machine Learning | Artificial Intelligence,0.156288 | 0.154501 | 0.148832,Natural Language Processing | Machine Learning | Artificial Intelligence | Computer Vision | Data Mining,0.156288 | 0.154501 | 0.148832 | 0.147026 | 0.141684
tfidf,Alessandro Abate,Artificial Intelligence | Machine Learning,Natural Language Processing,0.184733,Natural Language Processing | Machine Learning | Artificial Intelligence,0.184733 | 0.178317 | 0.175838,Natural Language Processing | Machine Learning | Artificial Intelligence | Data Mining | The Web & Information Retrieval,0.184733 | 0.178317 | 0.175838 | 0.171286 | 0.170579
tfidf,Alexander G. Schwing,Artificial Intelligence | Computer Graphics | Computer Vision | Machine Learning | Robotics | The Web & Information Retrieval,Computer Graphics,0.669961,Computer Graphics | Computer Vision | Robotics,0.669961 | 0.653508 | 0.643541,Computer Graphics | Computer Vision | Robotics | Machine Learning | Artificial Intelligence,0.669961 | 0.653508 | 0.643541 | 0.613295 | 0.605100
tfidf,Alexander Olshevsky,Machine Learning,Data Mining,0.173981,Data Mining | Databases | The Web & Information Retrieval,0.173981 | 0.164624 | 0.161415,Data Mining | Databases | The Web & Information Retrieval | Artificial Intelligence | Machine Learning,0.173981 | 0.164624 | 0.161415 | 0.138681 | 0.134465
tfidf,Alexander Tong 0001,Machine Learning,Machine Learning,0.287978,Machine Learning | Artificial Intelligence | Computer Vision,0.287978 | 0.281750 | 0.275587,Machine Learning | Artificial Intelligence | Computer Vision | Data Mining | Robotics,0.287978 | 0.281750 | 0.275587 | 0.268734 | 0.267385
tfidf,Alexandra Birch,Artificial Intelligence | Machine Learning | Natural Language Processing,Data Mining,0.203718,Data Mining | Natural Language Processing | Machine Learning,0.203718 | 0.202098 | 0.199051,Data Mining | Natural Language Processing | Machine Learning | Artificial Intelligence | Computer Vision,0.203718 | 0.202098 | 0.199051 | 0.194749 | 0.189674
tfidf,Alexandre M. Bayen,Machine Learning | Robotics,Robotics,0.178835,Robotics | Computer Vision | Artificial Intelligence,0.178835 | 0.150177 | 0.149600,Robotics | Computer Vision | Artificial Intelligence | Machine Learning | Natural Language Processing,0.178835 | 0.150177 | 0.149600 | 0.146023 | 0.142498
