topic_id,top_keywords
0,algorithm | gradient | optimization | regret | linear | algorithms | optimal | neural | stochastic | problem
1,3d | view | scene | 2d | reconstruction | scenes | point | geometry | rendering | gaussian
2,language | llms | models | reasoning | llm | large | knowledge | tasks | human | context
3,video | videos | temporal | motion | frames | frame | long | action | event | audio
4,robot | robots | robotic | manipulation | planning | motion | every | robotics | tasks | embodiment
5,graph | graphs | networks | node | gnns | neural | nodes | gnn | structure | information
6,data | learning | training | domain | model | supervised | label | pre | task | classification
7,diffusion | generation | models | generative | model | sampling | quality | latent | conditional | denoising
8,image | text | images | visual | challenge | editing | vision | clip | attention | resolution
9,policy | rl | learning | reinforcement | agent | offline | reward | agents | policies | exploration
10,object | objects | detection | segmentation | tracking | pose | hand | centric | estimation | manipulation
